TIME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
01:00,132,55,21,62,1,0,0,1,4,0,0,0,0,0,9,285
02:00,151,43,10,48,2,1,0,0,0,0,0,0,0,0,6,261
03:00,170,64,6,31,8,0,0,1,2,0,0,0,0,0,4,286
04:00,206,79,16,61,8,3,0,0,2,0,0,0,0,0,7,382
05:00,314,222,54,117,5,1,1,6,5,1,0,0,0,0,34,760
06:00,281,616,131,162,27,1,0,0,15,0,0,0,0,0,88,1321
07:00,230,960,114,111,15,1,0,2,13,1,0,0,0,0,97,1544
08:00,208,873,110,160,17,1,0,5,8,1,0,0,0,0,59,1442
09:00,190,800,161,146,30,1,0,9,17,0,0,0,0,0,54,1408
10:00,187,762,129,133,21,2,0,3,10,0,0,0,0,0,45,1292
11:00,159,831,135,155,24,3,1,6,9,0,0,0,0,0,38,1361
12:00,171,708,162,157,27,5,0,4,13,0,0,0,0,0,35,1282
13:00,158,862,132,179,30,2,0,5,10,2,0,0,0,0,48,1428
14:00,167,827,139,138,25,2,1,3,6,0,0,0,0,0,43,1351
15:00,166,767,133,144,17,2,0,2,7,1,0,0,0,0,63,1302
16:00,176,862,141,141,15,1,0,2,16,0,0,0,0,0,59,1413
17:00,243,723,138,151,17,0,0,3,10,1,0,0,0,0,61,1347
18:00,228,547,112,154,16,0,0,6,14,0,0,0,0,0,43,1120
19:00,235,476,111,158,8,0,0,2,9,1,0,0,0,0,34,1034
20:00,252,394,89,139,7,6,1,3,13,0,0,0,0,0,34,938
21:00,224,319,79,126,12,0,0,0,8,0,0,0,0,0,24,792
22:00,219,171,61,126,12,0,0,2,6,1,0,0,0,0,21,619
23:00,198,98,48,90,6,1,0,3,2,1,0,0,0,0,12,459
24:00,171,74,36,76,3,1,0,1,4,0,0,0,0,0,8,374
