TIME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
01:00,260,185,55,42,17,10,0,16,9,1,6,0,0,0,24,625
02:00,208,169,55,35,9,6,0,10,11,0,3,0,0,0,28,534
03:00,205,145,31,26,6,4,0,7,8,0,1,0,0,0,20,453
04:00,176,123,34,30,9,9,0,3,8,0,2,0,0,0,19,413
05:00,199,171,29,33,16,8,0,7,10,0,4,0,0,0,14,491
06:00,260,150,42,53,14,3,0,7,12,0,2,0,0,0,30,573
07:00,325,224,58,52,22,16,0,13,31,0,6,0,0,0,36,783
08:00,343,237,58,65,27,19,0,12,30,1,7,0,0,0,52,851
09:00,347,339,70,88,24,12,0,20,43,0,15,0,0,0,49,1007
10:00,302,358,100,73,27,20,0,22,44,2,13,0,0,0,46,1007
11:00,349,466,113,88,29,14,0,21,40,2,18,1,0,0,39,1180
12:00,327,454,135,84,21,13,0,30,47,0,35,2,0,0,26,1174
13:00,289,552,130,84,32,20,0,23,52,4,23,2,0,0,5,1216
14:00,275,467,139,85,28,13,0,19,59,2,31,1,0,0,26,1145
15:00,184,491,148,117,16,18,0,23,35,1,17,0,0,0,18,1068
16:00,284,428,137,93,19,10,0,22,43,0,26,1,0,0,1,1064
17:00,227,455,164,109,17,11,0,27,35,0,22,1,0,0,27,1095
18:00,265,462,137,88,19,10,0,23,48,1,20,2,0,0,7,1082
19:00,310,419,105,81,11,8,0,29,61,3,37,0,0,0,29,1093
20:00,366,394,111,71,17,8,0,24,47,2,20,2,0,0,26,1088
21:00,375,423,108,76,18,15,0,26,36,0,24,0,0,0,17,1118
22:00,351,337,110,73,24,20,1,16,33,0,17,0,0,0,42,1024
23:00,322,223,75,62,22,12,0,14,32,1,4,0,0,0,53,820
24:00,251,185,63,50,10,10,0,10,13,0,8,0,0,0,36,636
