TIME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
01:00,129,72,17,56,3,3,0,4,2,0,0,0,0,0,7,293
02:00,108,67,11,40,3,2,0,3,0,1,0,0,0,0,4,239
03:00,126,81,10,38,3,4,0,0,1,0,0,0,0,0,4,267
04:00,171,115,23,50,7,0,0,0,2,0,0,0,0,0,3,371
05:00,192,253,23,68,8,1,0,0,3,0,0,0,0,0,13,561
06:00,169,622,34,91,9,0,0,1,6,0,0,0,0,0,23,955
07:00,132,974,13,55,4,4,0,0,3,0,0,0,0,0,35,1220
08:00,152,960,38,77,10,2,2,2,5,3,0,0,0,0,24,1275
09:00,135,845,31,93,3,2,0,2,3,0,0,0,0,0,22,1136
10:00,158,877,39,92,6,2,0,2,2,1,0,0,0,0,35,1214
11:00,146,934,30,83,0,1,0,1,2,1,0,0,0,0,33,1231
12:00,134,762,45,111,9,0,0,3,1,0,0,0,0,0,27,1092
13:00,125,915,22,82,5,2,0,4,5,0,0,0,0,0,24,1184
14:00,154,875,25,104,1,3,1,2,2,0,0,0,0,0,40,1207
15:00,153,850,28,98,7,3,0,4,1,0,0,0,0,0,38,1182
16:00,190,884,32,82,1,0,0,2,2,2,0,0,0,0,40,1235
17:00,206,732,29,78,4,0,0,1,7,0,0,0,0,0,31,1088
18:00,192,593,21,87,8,0,0,3,5,0,0,0,0,0,31,940
19:00,213,525,40,131,7,1,0,2,5,0,0,0,0,0,32,956
20:00,211,442,35,141,9,4,0,3,1,1,0,0,0,0,27,874
21:00,210,397,40,133,7,0,0,3,6,2,0,0,0,0,26,824
22:00,187,208,27,129,6,0,0,2,1,1,0,0,0,0,17,578
23:00,160,119,22,89,7,2,0,1,0,0,0,0,0,0,13,413
24:00,150,104,19,74,1,0,0,1,1,0,0,0,0,0,9,359
